Nomor Identitias,Nama Stasiun,Merek Mesin,Jenis Konektor,Status Konektor,Status Instalasi,Port,Harga (Rp)
09.ROSO.00.3173.010,Bumi Laju Raya Meruya,Exicom,AC (Tipe 2),finishing,Beroperasi,1,
,SPKLU Indy Office,Daeyoung Chaevi,CCS2,,Beroperasi,2,
10.ROSO.00.3171.007,SPKLU Plaza Indonesia,UFC Autel,CCS2,,Beroperasi,1,
10.ROSO.00.3171.007,SPKLU Plaza Indonesia,UFC Autel,CCS2,,Beroperasi,2,
10.ROSO.00.3174.016,SPKLU Lippo Mall Kemang,FC Autel,CCS2,,Beroperasi,1,
10.ROSO.00.3174.016,SPKLU Lippo Mall Kemang,FC Autel,CCS2,,Beroperasi,2,
10.ROSO.00.3174.017,SPKLU Lippo Mall Kemang,MC Autel,Mennekes (Tipe 2),,Beroperasi,1,
10.ROSO.00.3172.006,SPKLU Lippo Pluit Villlage,MC Autel,Mennekes (Tipe 2),,Beroperasi,1,
10.ROSO.00.3172.007,SPKLU Lippo Pluit Villlage,FC Autel,CCS2,,Beroperasi,1,
10.ROSO.00.3172.007,SPKLU Lippo Pluit Villlage,FC Autel,CCS2,,Beroperasi,2,
10.ROSO.00.3216.001,Hyundai Training Academy,MC Autel,Mennekes (Tipe 2),,Beroperasi,1,
10.ROSO.00.3171.008,SPKLU Senayan Park,FC Delta,CCS2,,Beroperasi,1,
10.ROSO.00.3171.008,SPKLU Senayan Park,FC Delta,CCS2,,Beroperasi,2,
10.ROSO.00.3171.009,SPKLU Senayan Park,MC Delta,AC (Tipe 2),,Beroperasi,1,
05.ROSO.00.5171.009,SPKLU Utomo Charge+ Juragan Atap Bali,Marvel 72,Mennekes (Tipe 2),available,Tidak Beroperasi,2,
,SPKLU Alamanda Tower,IOC Charger,AC (Tipe 2),,Beroperasi,1,
,SPKLU Rajawali Place,IOC Charger,AC (Tipe 2),,Beroperasi,,
,SPKLU Jambuluwuk Thamrin Hotel,IOC Charger,AC (Tipe 2),,Beroperasi,,
,SPKLU Alamanda Tower,IOC Charger,AC (Tipe 2),,Beroperasi,,
,SPKLU Rajawali Place,IOC Charger,AC (Tipe 2),,Beroperasi,,
04.ROSO.00.3171.013,SPKLU Gedung Menara Era,IOC Charger,AC (Tipe 2),charging,Beroperasi,1,
08.ROSO.00.3674.003,SPKLU Indy Office,Daeyoung Chaevi,CCS2,available,Beroperasi,1,
09.ROSO.00.3578.006,SPKLU Grand City Mall,Exicom,AC (Tipe 2),finishing,Beroperasi,1,
09.ROSO.00.3578.007,SPKLU Grand City Mall,Exicom,AC (Tipe 2),finishing,Beroperasi,1,
,SPKLU Sequis Tower,IOC Charger,CCS2,,Beroperasi,443,
11.ROSO.00.3172.008,Astra Otopower,Astra Otopower,AC (Tipe 2),finishing,Beroperasi,1,
01.POSO.00.3276.018,SPKLU TSM CIBUBUR,CHARGECORE,CCS2,available,Beroperasi,1,2466.78
01.POSO.00.8106.001,SPKLU PLN KAIRATU,Delta,AC (Tipe 2),finishing,Beroperasi,1,2446.78
04.ROSO.00.3174.026,SPKLU Apartemen Pakubuwono View,IOC Charger,AC (Tipe 2),finishing,Beroperasi,1,
,SPKLU Jambuluwuk Thamrin Hotel,IOC Charger,AC (Tipe 2),,Beroperasi,443,
,FX Sudirman,IOC Charger,AC (Tipe 2),,Beroperasi,443,
04.ROSO.00.3173.005,SPKLU Plaza Slipi Jaya,IOC Charger,AC (Tipe 2),finishing,Beroperasi,1,
01.PPOO.00.3171.025,SPKLU POOL DAMRI KEMAYORAN,Delta,CCS2,charging,Beroperasi,1,2466.78
09.ROSO.00.3173.001,Wisma SSK,Exicom,CCS2,finishing,Beroperasi,1,
04.ROSO.00.3174.024,SPKLU Rajawali Place,Aurora AC Charger,AC (Tipe 2),finishing,Beroperasi,1,
01.PPOO.00.3671.015,"SPKLU HVT Rest Area Pinang KM 13,5",Phihong,CCS2,available,Beroperasi,1,2466.78
04.ROSO.00.3174.025,SPKLU Rajawali Place,Aurora AC Charger,AC (Tipe 2),finishing,Beroperasi,1,
01.POSO.00.5315.005,Parkir Polres Manggarai Barat,Delta,AC (Tipe 2),available,Beroperasi,1,2466.78
01.POSO.00.1371.009,SPKLU PLN TRANSMART PADANG,Teison,AC (Tipe 2),available,Beroperasi,1,2466.78
01.POSO.00.1377.001,SPKLU PLN ULP PARIAMAN,Delta,AC (Tipe 2),available,Beroperasi,1,2466.78
04.ROSO.00.3578.009,SPKLU G-Walk Surabaya,IOC Charger,AC (Tipe 2),finishing,Beroperasi,1,
04.ROSO.00.3171.012,SPKLU TCC Batavia,IOC Charger,AC (Tipe 2),,Tidak Beroperasi,2,
11.ROSO.00.3674.004,Astra Otopower,Astra Otopower,AC (Tipe 2),finishing,Beroperasi,1,
11.ROSO.00.3276.001,Astra Otopower,Astra Otopower,AC (Tipe 2),finishing,Beroperasi,1,
09.ROSO.00.3173.001,Wisma SSK,Exicom,CHAdeMO,finishing,Beroperasi,2,
11.ROSO.00.3173.004,Astra Otopower,Astra Otopower,AC (Tipe 2),finishing,Beroperasi,1,
11.ROSO.00.3671.009,Astra Otopower,Altro,AC (Tipe 2),finishing,Beroperasi,1,
04.ROSO.00.3173.005,SPKLU Plaza Slipi Jaya,IOC Charger,AC (Tipe 2),,Tidak Beroperasi,443,
09.ROSO.00.3672.001,BMT Cilegon,Exicom,AC (Tipe 2),finishing,Beroperasi,1,
,SPKLU Alamanda Tower,IOC Charger,AC (Tipe 2),,Beroperasi,1,
04.ROSO.00.3174.026,SPKLU Apartemen Pakubuwono View,IOC Charger,AC (Tipe 2),,Tidak Beroperasi,2,
11.ROSO.00.3275.003,Astra Otopower,Astra Otopower,AC (Tipe 2),finishing,Beroperasi,1,
11.ROSO.00.3171.014,Astra Otopower,Altro,AC (Tipe 2),finishing,Beroperasi,1,
11.ROSO.00.3171.015,Astra Otopower,Altro,AC (Tipe 2),finishing,Beroperasi,1,
11.ROSO.00.3578.010,Astra Otopower,Altro,AC (Tipe 2),finishing,Beroperasi,1,
11.ROSO.00.3578.011,Astra Otopower,Altro,AC (Tipe 2),finishing,Beroperasi,1,
11.ROSO.00.1271.004,Astra Otopower,Altro,AC (Tipe 2),finishing,Beroperasi,1,
,SPKLU Alamanda Tower,IOC Charger,AC (Tipe 2),,Beroperasi,2,
09.ROSO.00.3173.007,Ranch Market Pesanggrahan,Exicom,CCS2,finishing,Beroperasi,1,
09.ROSO.00.3173.007,Ranch Market Pesanggrahan,Exicom,CCS2,finishing,Beroperasi,2,
11.ROSO.00.3174.027,Astra Otopower,Altro,AC (Tipe 2),finishing,Beroperasi,1,
11.ROSO.00.3374.007,Astra Otopower,Altro,AC (Tipe 2),finishing,Beroperasi,1,
11.ROSO.00.3273.006,Astra Otopower,Altro,AC (Tipe 2),finishing,Beroperasi,1,
11.ROSO.00.3271.002,Astra Otopower,Altro,AC (Tipe 2),finishing,Beroperasi,1,
01.POSO.00.6402.001,SPKLU PLN ULP TENGGARONG,Delta,AC (Tipe 2),available,Beroperasi,1,2466.78
12.RLSO.00.3674.015,SPKLU Mall Alam Sutra,Tide,Mennekes (Tipe 2),available,Beroperasi,1,2475
01.POSO.00.3171.017,SPKLU PLN UID JAKARTA RAYA,AUTEL,AC (Tipe 2),available,Beroperasi,1,
01.POSO.00.1276.002,SPKLU PLN ULP Tebing Tinggi,Delta DC Wallbox,CHAdeMO,available,Beroperasi,2,2466.78
12.ROSO.00.5103.005,SPKLU GWK Bali,Tide,Mennekes (Tipe 2),unavailable,Beroperasi,1,
01.POSO.00.8171.003,SPKLU Mall ACC,Proteksindo,AC (Tipe 2),available,Beroperasi,2,2446.78
12.RLSO.00.3674.010,SPKLU Flavor bliss,Tide,Mennekes (Tipe 2),available,Beroperasi,1,2475
11.ROSO.00.3171.016,Astra Otopower,Astra Otopower,AC (Tipe 2),finishing,Beroperasi,1,
09.ROSO.00.3173.009,Wisma SSK 2,Exicom,Mennekes (Tipe 2),,Beroperasi,1,
01.POSO.00.3171.019,SPKLU PLN UID JAKARTA RAYA,ABB,AC (Tipe 2),available,Beroperasi,1,
09.ROSO.00.3173.008,Wisma SSK 2,Exicom,CCS2,finishing,Beroperasi,1,
09.ROSO.00.3173.009,Wisma SSK 2,Exicom,CHAdeMO,finishing,Beroperasi,2,
01.POSO.00.6471.011,SPKLU PLN UIW Kaltimra,Delta,CHAdeMO,available,Beroperasi,2,2466.78
,Jakarta Design Center 22 kW (1),WEEYU/ INJET,AC (Tipe 2),,Beroperasi,1,
01.POSO.00.6403.003,SPKLU PLN ULP TANJUNG REDEB,Delta,AC (Tipe 2),finishing,Beroperasi,1,2466.78
01.POSO.00.6402.002,SPKLU PLN ULP TENGGARONG,Delta,AC (Tipe 2),available,Beroperasi,1,2466.78
,Grand Zuri BSD City 22 kW (1),WEEYU/ INJET,AC (Tipe 2),available,Beroperasi,1,
01.POSO.00.6402.003,SPKLU PLN PERANGAT,Delta,AC (Tipe 2),finishing,Beroperasi,1,2466.78
01.POSO.00.3216.011,SPKLU REST AREA KM 19 B RUAS JAKARTA - CIKAMPEK,ABB,CCS2,available,Beroperasi,1,2466.78
12.RLSO.00.3674.012,SPKLU Flavor bliss,Tide,Mennekes (Tipe 2),available,Beroperasi,1,2475
