Nomor,Nomor Identitias,Badan Usaha,Nama Stasiun,Skema SPKLU,Provinsi,Kabupaten / Kota,Alamat,Latitude,Longitude,Tanggal Pengajuan,Tanggal Verifikasi,Status Terintegrasi,Total Transaksi,Total Konsumsi Listrik,Total Pendapatan
796,01.POSO.00.6471.007,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP BALIKPAPAN UTARA,POSO,Kalimantan Timur,KOTA BALIKPAPAN,"Jl. Soekarno Hatta No. 19, Batu Ampar, Balikpapan Utara, Kota Balikpapan, Kalimantan Timur",-1.208022,116.867417,9/9/2024 14:54,9/27/2024 10:16,Ya,,,
797,01.POSO.00.6402.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP TENGGARONG,POSO,Kalimantan Timur,KAB. KUTAI KARTANEGARA,"Jl. K.H. Ahmad Muksin, Timbau, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75511",-0.422588,116.992161,9/9/2024 14:54,9/27/2024 10:16,Ya,,,
798,01.POSO.00.6402.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP TENGGARONG,POSO,Kalimantan Timur,KAB. KUTAI KARTANEGARA,"Jl. K.H. Ahmad Muksin, Timbau, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75511",-0.422588,116.992161,9/9/2024 14:54,9/27/2024 10:16,Ya,,,
799,01.POSO.00.6409.005,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 NUSANTARA 3,POSO,Kalimantan Timur,KAB. PENAJAM PASER UTARA,"Jl. Negara KM.38 Ds. Sukaraja, Kec Sepaku, Penajam Paser Utara, Kalimantan Timur",-0.911714,116.785532,9/9/2024 14:54,9/27/2024 10:16,Ya,,,
800,01.POSO.00.6471.008,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN KP MANGGAR,POSO,Kalimantan Timur,KOTA BALIKPAPAN,"Jl. Mulawarman, Manggar, Kec. Balikpapan Timur, Kota Balikpapan, Kalimantan Timur 76117",-1.229712,116.959148,9/9/2024 14:54,9/27/2024 10:16,Ya,,,
801,01.POSO.00.6401.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP TANAH GROGOT,POSO,Kalimantan Timur,KAB. PASER,"Jl. RM Noto Sunardi No.6 Tanah Grogot, Kec Tanah Grogot, Kabupaten Paser, Kalimantan Timur 76251",-1.911649,116.19267,9/9/2024 14:54,9/27/2024 10:16,Ya,,,
802,01.POSO.00.3519.003,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Rest Area 626A,POSO,Jawa Timur,KAB. MADIUN,"Jl Tol Solo Kertosono, Kec Saradan, Madiun, Jatim",-7.5472428,111.7573278,9/13/2024 10:47,10/1/2024 10:01,Ya,,,
803,01.POSO.00.3519.004,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Rest Area 626A,POSO,Jawa Timur,KAB. MADIUN,"Jl Tol Solo Kertosono, Kec Saradan, Madiun, Jatim",-7.5472428,111.7573278,9/13/2024 10:47,10/1/2024 10:01,Ya,,,
804,01.POSO.00.3519.005,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Rest Area 626A,POSO,Jawa Timur,KAB. MADIUN,"Jl Tol Solo Kertosono, Kec Saradan, Madiun, Jatim",-7.5472428,111.7573278,9/13/2024 10:47,10/1/2024 10:01,Ya,,,
805,01.POSO.00.3519.006,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Rest Area 626A,POSO,Jawa Timur,KAB. MADIUN,"Jl Tol Solo Kertosono, Kec Saradan, Madiun, Jatim",-7.5472428,111.7573278,9/13/2024 10:47,10/1/2024 10:01,Ya,,,
806,01.POSO.00.3519.007,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Rest Area 626B,POSO,Jawa Timur,KAB. MADIUN,"Jl Tol Solo Kertosono, Kec Saradan, Madiun, Jatim",-7.5479973,111.7568511,9/13/2024 10:47,10/1/2024 10:01,Ya,,,
